dimension,scenario,year,forecast_percent,lower_90_percent,upper_90_percent,annual_growth_assumption_pp,annual_growth_uncertainty_sd,simulations
Access,Conservative,2025,49.88489752761737,48.90005884406535,50.8889373897006,0.88,0.6,10000
Access,Conservative,2026,50.784896361530485,49.371207614807396,52.19522895242975,0.88,0.6,10000
Access,Conservative,2027,51.649642049453945,49.92453824557438,53.40193771548168,0.88,0.6,10000
Access,Baseline,2025,50.53567582964789,49.20244263025881,51.85671846859826,1.5447404993853417,0.8,10000
Access,Baseline,2026,52.056286593746215,50.20969448488255,53.93484587710166,1.5447404993853417,0.8,10000
Access,Baseline,2027,53.60939807760731,51.325114528694776,55.851023919554585,1.5447404993853417,0.8,10000
Access,Optimistic,2025,51.223845348343836,49.35858418092565,53.02675448652004,2.2353846153846155,1.1,10000
Access,Optimistic,2026,53.48126489964373,50.90020749649888,56.04129861431448,2.2353846153846155,1.1,10000
Access,Optimistic,2027,55.708528215613676,52.58192098950319,58.81679438548989,2.2353846153846155,1.1,10000
Usage,Conservative,2025,66.49188775526589,65.03179940126212,67.96810873363765,0.5,0.9,10000
Usage,Conservative,2026,67.00470138363222,64.92557174433404,69.12493338137801,0.5,0.9,10000
Usage,Conservative,2027,67.51611796608051,64.96677890295915,70.11777302112905,0.5,0.9,10000
Usage,Baseline,2025,67.75494019606091,65.78395147082044,69.73007683321042,1.7494264246713267,1.2,10000
Usage,Baseline,2026,69.51802413388789,66.6790624613546,72.27362374860067,1.7494264246713267,1.2,10000
Usage,Baseline,2027,71.25384334069136,67.8890359900358,74.63898884498387,1.7494264246713267,1.2,10000
Usage,Optimistic,2025,68.98314814325649,66.38073327284481,71.62834812685917,3.0,1.6,10000
Usage,Optimistic,2026,72.02068618328636,68.31920260090118,75.7483374563911,3.0,1.6,10000
Usage,Optimistic,2027,75.02198174156635,70.50916217100486,79.56877623293515,3.0,1.6,10000
